FINAL_NAICS_CODE,,REPORTING_YEAR,variable,value,Agg
212391,2123A0,2010,GrossOutput_index_agg,100,TRUE
,,2011,,112.1873396,
,,2012,,111.9266424,
,,2013,,116.8819012,
,,2014,,147.5706852,
,,2015,,133.5453804,
311221,311221,2011,GrossOutput_index,100,FALSE
,,2012,,85.57272229,
,,2013,,85.76887315,
,,2014,,86.34968348,
,,2015,,96.65397205,
322110,322110,2010,GrossOutput_index,100,FALSE
,,2011,,109.2458415,
,,2012,,111.1853586,
,,2013,,119.0428328,
,,2014,,114.9716141,
,,2015,,112.582562,
322121,322120,2010,GrossOutput_index_agg,100,TRUE
,,2011,,99.08574747,
,,2012,,95.94945075,
,,2013,,98.45788731,
,,2014,,95.48281145,
,,2015,,97.19115188,
322130,322130,2010,GrossOutput_index,100,FALSE
,,2011,,100.6211237,
,,2012,,102.3794384,
,,2013,,101.0293698,
,,2014,,101.7150019,
,,2015,,104.7229364,
324110,324110,2010,GrossOutput_index,100,FALSE
,,2011,,102.4484643,
,,2012,,103.6012915,
,,2013,,107.4509479,
,,2014,,104.6082043,
,,2015,,106.3177829,
325110,325110,2010,GrossOutput_index,100,FALSE
,,2011,,87.20295741,
,,2012,,106.9092992,
,,2013,,110.4165365,
,,2014,,97.30605019,
,,2015,,145.3483286,
325181,325180,2010,GrossOutput_index_agg,100,TRUE
,,2011,,96.07361963,
,,2012,,103.5762573,
,,2013,,98.29236841,
,,2014,,99.02074948,
,,2015,,91.83619241,
325193,325190,2011,GrossOutput_index_agg,100,TRUE
,,2012,,111.6287332,
,,2013,,113.8151808,
,,2014,,114.0838607,
,,2015,,122.2560231,
325199,325190,2010,GrossOutput_index_agg,100,TRUE
,,2011,,105.7946048,
,,2012,,118.0971771,
,,2013,,120.4103207,
,,2014,,120.6945695,
,,2015,,129.3402764,
325211,325211,2010,GrossOutput_index,100,FALSE
,,2011,,95.5482135,
,,2012,,102.309343,
,,2013,,102.4464389,
,,2014,,100.8830342,
,,2015,,108.7886168,
325311,325310,2010,GrossOutput_index_agg,100,TRUE
,,2011,,85.68951031,
,,2012,,96.0628649,
,,2013,,107.4692462,
,,2014,,106.5751772,
,,2015,,123.0691342,
327410,327400,2010,GrossOutput_index_agg,100,TRUE
,,2011,,101.9209321,
,,2012,,105.3741485,
,,2013,,117.4325229,
,,2014,,115.5767944,
,,2015,,115.0543077,
331111,331110,2010,GrossOutput_index_agg,100,TRUE
,,2011,,109.3074956,
,,2012,,109.7043051,
,,2013,,111.8891483,
,,2014,,108.8341926,
,,2015,,99.93466188,
212391,2123A0,2010,GrossOutput_MUSD_agg,14213,TRUE
,,2011,,17389,
,,2012,,18086,
,,2013,,19064,
,,2014,,26040,
,,2015,,25101,
311221,311221,2011,GrossOutput_MUSD,14493,FALSE
,,2012,,12578,
,,2013,,13411,
,,2014,,11343,
,,2015,,11273,
322110,322110,2010,GrossOutput_MUSD,4527,FALSE
,,2011,,5282,
,,2012,,5282,
,,2013,,5473,
,,2014,,5437,
,,2015,,5472,
322121,322120,2010,GrossOutput_MUSD_agg,48034,TRUE
,,2011,,49017,
,,2012,,47595,
,,2013,,48412,
,,2014,,46870,
,,2015,,47275,
322130,322130,2010,GrossOutput_MUSD,27278,FALSE
,,2011,,28317,
,,2012,,28528,
,,2013,,29605,
,,2014,,30285,
,,2015,,30478,
324110,324110,2010,GrossOutput_MUSD,563324,FALSE
,,2011,,763351,
,,2012,,779983,
,,2013,,776775,
,,2014,,714704,
,,2015,,457894,
325110,325110,2010,GrossOutput_MUSD,75101,FALSE
,,2011,,83891,
,,2012,,80554,
,,2013,,80747,
,,2014,,71919,
,,2015,,65503,
325181,325180,2010,GrossOutput_MUSD_agg,32291,TRUE
,,2011,,34727,
,,2012,,38278,
,,2013,,35837,
,,2014,,35869,
,,2015,,33408,
325193,325190,2011,GrossOutput_MUSD_agg,128256,TRUE
,,2012,,140459,
,,2013,,143101,
,,2014,,140044,
,,2015,,128701,
325199,325190,2010,GrossOutput_MUSD_agg,101413,TRUE
,,2011,,128256,
,,2012,,140459,
,,2013,,143101,
,,2014,,140044,
,,2015,,128701,
325211,325211,2010,GrossOutput_MUSD,79969,FALSE
,,2011,,83939,
,,2012,,90783,
,,2013,,93951,
,,2014,,96130,
,,2015,,88187,
325311,325310,2010,GrossOutput_MUSD_agg,20337,TRUE
,,2011,,23451,
,,2012,,26336,
,,2013,,27886,
,,2014,,26288,
,,2015,,29232,
327410,327400,2010,GrossOutput_MUSD_agg,5156,TRUE
,,2011,,5295,
,,2012,,5955,
,,2013,,7205,
,,2014,,7453,
,,2015,,7504,
331111,331110,2010,GrossOutput_MUSD_agg,95068,TRUE
,,2011,,117070,
,,2012,,112387,
,,2013,,107924,
,,2014,,108066,
,,2015,,86571,
