NAICS,NAICS_desc
324110,Petroleum Refineries
331111,Iron and Steel Mills
322121,Paper (except Newsprint) Mills
322130,Paperboard Mills
325199,All Other Basic Organic Chemical Manufacturing
325193,Ethyl Alcohol Manufacturing
311221,Wet Corn Milling
325211,Plastics Material and Resin Manufacturing
325110,Petrochemical Manufacturing
325181,Alkalies and Chlorine Manufacturing
322110,Pulp Mills
327410,Lime Manufacturing
325311,Nitrogenous Fertilizer Manufacturing
212391,"Potash, Soda, and Borate Mineral Mining"
